target,horizon_weeks,variant,cutoff,n_polls,p_right_bloc_ahead,right_bloc_ahead,brier_bloc,crps_pp,energy_pp,log_score_share,mae_pp,coverage_50,coverage_90,crps_pp[National],error_pp[National],sd_pp[National],pit[National],crps_pp[Labour],error_pp[Labour],sd_pp[Labour],pit[Labour],crps_pp[Green],error_pp[Green],sd_pp[Green],pit[Green],crps_pp[ACT],error_pp[ACT],sd_pp[ACT],pit[ACT],crps_pp[NZ First],error_pp[NZ First],sd_pp[NZ First],pit[NZ First],crps_pp[Te Pāti Māori],error_pp[Te Pāti Māori],sd_pp[Te Pāti Māori],pit[Te Pāti Māori],crps_pp[New Conservative],error_pp[New Conservative],sd_pp[New Conservative],pit[New Conservative],crps_pp[United Future],error_pp[United Future],sd_pp[United Future],pit[United Future],crps_pp[TOP],error_pp[TOP],sd_pp[TOP],pit[TOP]
2023,1,gauss,2023-10-07,370,0.685,true,0.09922499999999997,0.869997506821257,3.1034327688449728,22.92284677091384,1.2606272717458864,0.42857142857142855,1.0,2.4768563420069243,-3.7262341547012356,2.6433887481689453,0.927,0.6844827768078445,-0.4464480113983149,2.8393208980560303,0.579,0.5203697883167867,0.8728077852725988,1.4256941080093384,0.292,1.558953523874133,2.49210916519165,1.8969413042068481,0.082,0.310057683213055,0.4727478063106534,1.1426360607147217,0.35,0.2913550395851768,-0.4618710073828698,0.5130744576454163,0.822,,,,,,,,,0.24790739394487815,-0.35217297196388253,0.5341986417770386,0.781
2023,26,gauss,2023-04-15,340,0.341,true,0.43428100000000003,2.215354841413447,7.7988027069221255,17.761447253776865,3.3913070267438887,0.2857142857142857,0.8571428571428571,3.157550019099119,-5.144583301544192,5.709260940551758,0.828,6.02286742052704,9.632971601486206,7.266324996948242,0.088,2.2631493984515947,-3.211701080799102,2.047668695449829,0.929,1.1716872963397196,2.127270624637603,5.084538459777832,0.387,1.9975249808216096,-2.616562422513962,1.3623785972595215,0.953,0.46039670943799393,-0.6227517667412759,0.9846501350402832,0.785,,,,,,,,,0.4343080652170513,-0.38330838948488244,1.3205634355545044,0.728
2023,4,gauss,2023-09-16,366,0.656,true,0.11833599999999998,0.7818976209099592,2.7451245817715186,22.471188255826835,1.1382129240887506,0.7142857142857143,1.0,1.6178665142950428,-2.6556661891937283,3.755831241607666,0.767,1.1546758382892608,1.434743123054505,4.3239970207214355,0.374,0.5219417495175448,-0.6164537525176996,1.7785359621047974,0.649,1.2831804634428017,2.408783361911773,2.7975714206695557,0.192,0.45902455873787407,-0.5514693522453311,1.41682767868042,0.685,0.19005578148683522,-0.01677220493555079,0.8035207390785217,0.548,,,,,,,,,0.24653844060035426,-0.2836024847626687,0.7547407746315002,0.689
2023,8,gauss,2023-08-19,358,0.619,true,0.145161,1.4251832702077032,4.9968921365537105,19.97751356145424,2.354635313238417,0.42857142857142855,1.0,2.8894765432330987,-4.622151570320132,4.916319370269775,0.828,2.16216632508993,3.664385991096497,6.277234077453613,0.294,1.1560759020666025,-1.82812155842781,2.139251232147217,0.808,2.2659861493496583,4.333222136497497,4.682450294494629,0.157,0.9388258920134793,-1.3912298792600635,1.5381287336349487,0.834,0.27644015758063656,0.4549715501070022,1.2286955118179321,0.392,,,,,,,,,0.28731192212051715,-0.18836450695991525,1.1219483613967896,0.673
2017,1,heavy,2017-09-16,211,0.42,true,0.3364000000000001,0.5556896406147153,2.7516000282069784,34.174276743194106,0.8197661753487774,0.75,1.0,1.1563406327635053,-1.4008373737335211,4.2725629806518555,0.634,2.2908988047391174,3.907391533851623,4.669552326202393,0.195,0.4038830184438082,-0.5806859922409063,1.115801215171814,0.728,0.032744636757601996,0.03652366623282431,0.14751289784908295,0.458,0.4415804754745217,-0.5784976601600642,1.3779642581939697,0.689,0.07033970989579799,-0.016131952702999088,0.31654319167137146,0.553,0.031627816453654076,-0.015380571372807005,0.12782397866249084,0.662,0.018102030389715217,-0.022680652495473623,0.03710445761680603,0.815,,,,
2017,26,heavy,2017-03-25,191,0.85,true,0.022500000000000006,1.4917808798692083,6.420059334569715,20.780475457069063,2.119533215477131,0.375,0.625,1.5886881327390665,2.5324880361557,4.115042209625244,0.247,5.324044806059301,-7.473537220954896,4.241504669189453,0.957,3.527674949365632,4.295229505300521,1.4146754741668701,0.001,0.05058277220710006,0.005490694195032109,0.2455291748046875,0.568,0.7043026220418516,1.1183489739894872,2.8309834003448486,0.379,0.5426349801780097,1.1048036140203477,1.2692828178405762,0.101,0.08170468450709872,0.19934867717325688,0.36722874641418457,0.338,0.1146140918556063,0.2270190020278096,0.26211240887641907,0.04,,,,
2017,4,heavy,2017-08-26,205,0.684,true,0.09985599999999997,0.6481969276775627,2.869942535197131,32.21485162856807,0.8770861704403068,0.5,1.0,0.9445648008108141,0.03214769363403258,4.141907215118408,0.497,2.0009691844114665,-3.158980503082276,4.3380842208862305,0.773,0.9216751338565347,1.521412621736526,1.3212952613830566,0.121,0.05285332139950481,0.09385574422776698,0.23484055697917938,0.367,1.117865391102806,2.066385436058045,2.292024612426758,0.183,0.09087765053012406,0.12151286721229557,0.494824081659317,0.465,0.03887807872878185,0.003468000553548357,0.19855999946594238,0.62,0.017891860580468995,-0.01892649701796472,0.04888135567307472,0.763,,,,
2017,8,heavy,2017-07-29,199,0.926,true,0.005475999999999993,1.9486089290895015,8.85169238457104,24.266332335021076,2.6097717912076037,0.375,0.75,1.801239750897883,2.9576837301254266,3.804703712463379,0.205,7.858736160356999,-9.973585500717164,3.8044347763061523,0.994,4.201108464597912,4.949473183155059,1.4617245197296143,0.0,0.06214572160582756,0.12261237762868403,0.2612419128417969,0.327,1.4568126588996502,2.57674424648285,2.571664333343506,0.134,0.08874086933052636,0.051206115335226086,0.44374731183052063,0.517,0.061122393691397776,0.13890872918069364,0.23899170756340027,0.293,0.05896541333581411,0.10796044703572988,0.10327926278114319,0.075,,,,
2020,1,heavy,2020-10-10,256,0.007,false,0.000049000000000000005,1.1119242732675072,3.158425021013251,13.84175721789741,1.6338897487521165,0.6,0.8,2.6187842895549513,3.9526977968215915,2.7038004398345947,0.062,1.2079786904782057,-1.8619222736358632,3.7438948154449463,0.7,1.1211822607290747,-1.5656310474872592,0.8756506443023682,0.966,0.43865980377838043,0.5510303711891179,1.9154878854751587,0.424,0.17301632179692372,-0.2381672546267508,0.4884195625782013,0.72,,,,,,,,,,,,,,,,
2020,26,heavy,2020-04-18,241,0.237,false,0.056169,4.4700299843723,13.188970092167292,4.313835002628839,5.884364880383012,0.0,0.6,12.245641879649796,14.936352653503416,5.216545104980469,0.004,4.136226031209593,-6.813229451179503,7.163781642913818,0.839,0.9523621830767014,-1.4359671032428745,1.6126843690872192,0.837,4.297807088906022,-4.827939946353435,4.409241199493408,0.978,0.7181127390193918,1.4083352476358415,1.6682555675506592,0.188,,,,,,,,,,,,,,,,
